property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max,definition,citation,reference
Sodium (Na) - extractable,Extr_c6h8o7-reeuwijk,cmol/kg,0,1000,Complexation with citric acid (van Reeuwijk). Particularly used for available P.,,https://www.isric.org/documents/document-type/technical-paper-09-procedures-soil-analysis-6th-edition
Sodium (Na) - extractable,Extr_cacl2,cmol/kg,0,1000,CaCl2. Particularly used for soluble P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - extractable,Extr_capo4,cmol/kg,0,1000,Ca phosphate. Particularly used for available S.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - extractable,Extr_dtpa,cmol/kg,0,1000,DiethyneleTriaminePentaAcetic acid (DTPA) method,,https://doi.org/10.2136/sssaj1978.03615995004200030009x
Sodium (Na) - extractable,Extr_edta,cmol/kg,0,1000,EthyleneDiamineTetraAcetic acid (EDTA) method,,https://journals.lww.com/soilsci/Citation/1954/10000/SOIL_AND_PLANT_STUDIES_WITH_CHELATES_OF.8.aspx
Sodium (Na) - extractable,Extr_h2so4-truog,cmol/kg,0,1000,Method of Truog (dilute H2SO4). Particularly used for available P.,,https://doi.org/10.2134/agronj1930.00021962002200100008x
Sodium (Na) - extractable,Extr_hcl-h2so4-nelson,cmol/kg,0,1000,Method of Nelson (dilute HCl/H2SO4). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - extractable,Extr_hcl-nh4f-bray1,cmol/kg,0,1000,Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Sodium (Na) - extractable,Extr_hcl-nh4f-bray2,cmol/kg,0,1000,Method of Bray II (dilute HCl/NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Sodium (Na) - extractable,Extr_hcl-nh4f-kurtz-bray,cmol/kg,0,1000,Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Sodium (Na) - extractable,Extr_hno3,cmol/kg,0,1000,Nitric acid (HNO3) method,"ISO. ISO/DIS 17586 Soil Quality - Extraction of Trace Elements Using Dilute Nitric Acid, 2016; p 14",https://www.iso.org/standard/60060.html
Sodium (Na) - extractable,Extr_hotwater,cmol/kg,0,1000,Hot water. Particularly used for available B,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - extractable,Extr_m1,cmol/kg,0,1000,Mehlich1 method,,https://www.ncagr.gov/AGRONOMI/pdffiles/mehlich53.pdf
Sodium (Na) - extractable,Extr_m2,cmol/kg,0,1000,Mehlich2 method,,https://doi.org/10.1080/00103627609366673
Sodium (Na) - extractable,Extr_m3,cmol/kg,0,1000,Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA),,https://doi.org/10.1080/00103628409367568
Sodium (Na) - extractable,Extr_m3-spec,cmol/kg,0,1000,Spectrally measured and converted to Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA),,https://doi.org/10.1080/00103628409367568
Sodium (Na) - extractable,Extr_nahco3-olsen,cmol/kg,0,1000,Method of Olsen (0.5 M Sodium Bicarbonate (NaHCO3) extraction at pH8.5). Particularly used for available P.,,https://acsess.onlinelibrary.wiley.com/doi/book/10.2134/agronmonogr9.2
Sodium (Na) - extractable,Extr_nahco3-olsen-dabin,cmol/kg,0,1000,"Method of Olsen, modified by Dabin (ORSTOM). Particularly used for available P.",,https://docplayer.fr/81912854-Application-des-dosages-automatiques-a-l-analyse-des-sols-2e-partie-par.html
Sodium (Na) - extractable,Extr_naoac-morgan,cmol/kg,0,1000,Method of Morgan (Na-acetate/acetic acid). Particularly used for available P.,,https://portal.ct.gov/-/media/CAES/DOCUMENTS/Publications/Bulletins/B450pdf.pdf?la=en
Sodium (Na) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,cmol/kg,0,1000,NH4-lactate extraction method (KU-Leuven). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - extractable,Extr_nh4-co3-2-ambic1,cmol/kg,0,1000,Ambic1 method (ammonium bicarbonate) (South Africa). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_h2so4,cmol/kg,0,1000,Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_hcl,cmol/kg,0,1000,HCl extraction. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_hcl-aquaregia,cmol/kg,0,1000,Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_hclo4,cmol/kg,0,1000,Perchloric acid percolation. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_hno3-aquafortis,cmol/kg,0,1000,Nitric acid attack. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_nh4-6mo7o24,cmol/kg,0,1000,COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp03,cmol/kg,0,1000,reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp04,cmol/kg,0,1000,acid fleischman. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp05,cmol/kg,0,1000,8 M HCl extraction. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp06,cmol/kg,0,1000,"Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp07,cmol/kg,0,1000,1:1 H2SO4 : HNO3. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp08,cmol/kg,0,1000,"After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_tp09,cmol/kg,0,1000,"Walker and Adams, 1958. Particularly used for Total P.","WALKER, T. W., AND A. F. R. ADAMS. 1958. Studies on soil organic matter. I. Soil Sci. 85: 307-318. ",
Sodium (Na) - total,Total_tp10,cmol/kg,0,1000,"Colorimetric, unspecified extract","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_unkn,cmol/kg,0,1000,Unspecified method,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_xrd,cmol/kg,0,1000,XRD,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_xrf,cmol/kg,0,1000,XRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_xrf-p,cmol/kg,0,1000,PXRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - total,Total_xtf-t,cmol/kg,0,1000,TXRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
solubleSaltsProperty,SlbAn_calcul-unkn,cmol/L,0,1000,"Sum of soluble anions (Cl, SO4, HCO2, CO3, NO3, F)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
solubleSaltsProperty,SlbCat_calcul-unkn,cmol/L,0,1000,"Sum of soluble cations (Ca, Mg, K, Na)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sulfur (S) - extractable,Extr_ap14,%,0,100,Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.,Saunders and Metelerkamp,
Sulfur (S) - extractable,Extr_ap15,%,0,100,Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.,"Hunter, A. 1975. New techniques and equipment for routine soil/plant analytical procedures. In: Soil Management in Tropical America. (eds E. Borremiza & A. Alvarado). N.C. State University, Raleigh, NC.",
Sulfur (S) - extractable,Extr_ap20,%,0,100,Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
